window,h,true,lstm,last_sinr
129,3,7.0707045,7.3552246,7.361959
130,1,5.8617516,7.3381124,7.657697
130,2,7.0707045,7.3982105,7.657697
130,3,7.121674,7.353243,7.657697
131,1,7.0707045,7.3567615,5.8617516
131,2,7.121674,7.3920894,5.8617516
131,3,7.8926296,7.3558364,5.8617516
132,1,7.121674,7.3516264,7.0707045
132,2,7.8926296,7.4020195,7.0707045
132,3,7.7423587,7.361132,7.0707045
133,1,7.8926296,7.349743,7.121674
133,2,7.7423587,7.4070787,7.121674
133,3,6.95175,7.3626738,7.121674
134,1,7.7423587,7.3409524,7.8926296
134,2,6.95175,7.4100947,7.8926296
134,3,8.36185,7.36067,7.8926296
135,1,6.95175,7.333485,7.7423587
135,2,8.36185,7.402076,7.7423587
135,3,4.743676,7.3524957,7.7423587
136,1,8.36185,7.347701,6.95175
136,2,4.743676,7.399986,6.95175
136,3,7.7873693,7.3567996,6.95175
137,1,4.743676,7.3357787,8.36185
137,2,7.7873693,7.40288,8.36185
137,3,5.3426237,7.354662,8.36185
138,1,7.7873693,7.370942,4.743676
138,2,5.3426237,7.3908997,4.743676
138,3,9.475699,7.3581038,4.743676
139,1,5.3426237,7.3501463,7.7873693
139,2,9.475699,7.4065847,7.7873693
139,3,8.434783,7.363233,7.7873693
140,1,9.475699,7.3703732,5.3426237
140,2,8.434783,7.4068103,5.3426237
140,3,6.6985283,7.367235,5.3426237
141,1,8.434783,7.335897,9.475699
141,2,6.6985283,7.421713,9.475699
141,3,4.603278,7.3643,9.475699
142,1,6.6985283,7.3305,8.434783
142,2,4.603278,7.4121294,8.434783
142,3,8.726952,7.3547,8.434783
143,1,4.603278,7.3480906,6.6985283
143,2,8.726952,7.3949757,6.6985283
143,3,8.805511,7.3525033,6.6985283
144,1,8.726952,7.3755317,4.603278
144,2,8.805511,7.3888307,4.603278
144,3,7.341608,7.3586626,4.603278
145,1,8.805511,7.3425837,8.726952
145,2,7.341608,7.409871,8.726952
145,3,8.753367,7.362423,8.726952
146,1,7.341608,7.3277884,8.805511
146,2,8.753367,7.410818,8.805511
146,3,6.566896,7.3549786,8.805511
147,1,8.753367,7.3363338,7.341608
147,2,6.566896,7.3951864,7.341608
147,3,10.0814705,7.348684,7.341608
148,1,6.566896,7.3200884,8.753367
148,2,10.0814705,7.3888206,8.753367
148,3,9.076409,7.339186,8.753367
149,1,10.0814705,7.336272,6.566896
149,2,9.076409,7.3711805,6.566896
149,3,8.939974,7.336172,6.566896
150,1,9.076409,7.296598,10.0814705
150,2,8.939974,7.3742986,10.0814705
150,3,7.4016438,7.321504,10.0814705
151,1,8.939974,7.28238,9.076409
151,2,7.4016438,7.3456135,9.076409
151,3,5.520136,7.294881,9.076409
152,1,7.4016438,7.269127,8.939974
152,2,5.520136,7.3060403,8.939974
152,3,8.868546,7.2728844,8.939974
153,1,5.520136,7.285375,7.4016438
153,2,8.868546,7.2548733,7.4016438
153,3,7.2392836,7.2550287,7.4016438
154,1,8.868546,7.306897,5.520136
154,2,7.2392836,7.2128963,5.520136
154,3,8.540664,7.2457438,5.520136
155,1,7.2392836,7.2592382,8.868546
155,2,8.540664,7.229649,8.868546
155,3,4.4268336,7.2350154,8.868546
156,1,8.540664,7.262839,7.2392836
156,2,4.4268336,7.189748,7.2392836
156,3,8.488416,7.1863546,7.2392836
157,1,4.4268336,7.249117,8.540664
157,2,8.488416,7.2127676,8.540664
157,3,8.020643,7.202246,8.540664
158,1,8.488416,7.295559,4.4268336
158,2,8.020643,7.192276,4.4268336
158,3,7.6218038,7.2207294,4.4268336
159,1,8.020643,7.243166,8.488416
159,2,7.6218038,7.211125,8.488416
