window,h,true,lstm,last_sinr
134,2,6.95175,7.3489013,7.8926296
134,3,8.36185,7.385644,7.8926296
135,1,6.95175,7.3460555,7.7423587
135,2,8.36185,7.3438187,7.7423587
135,3,4.743676,7.377989,7.7423587
136,1,8.36185,7.362551,6.95175
136,2,4.743676,7.3543363,6.95175
136,3,7.7873693,7.3766794,6.95175
137,1,4.743676,7.345905,8.36185
137,2,7.7873693,7.336977,8.36185
137,3,5.3426237,7.3767705,8.36185
138,1,7.7873693,7.3998523,4.743676
138,2,5.3426237,7.374518,4.743676
138,3,9.475699,7.3714085,4.743676
139,1,5.3426237,7.365612,7.7873693
139,2,9.475699,7.3543434,7.7873693
139,3,8.434783,7.3879642,7.7873693
140,1,9.475699,7.3957834,5.3426237
140,2,8.434783,7.3751583,5.3426237
140,3,6.6985283,7.3859286,5.3426237
141,1,8.434783,7.336549,9.475699
141,2,6.6985283,7.344212,9.475699
141,3,4.603278,7.3943295,9.475699
142,1,6.6985283,7.3379655,8.434783
142,2,4.603278,7.3379908,8.434783
142,3,8.726952,7.377393,8.434783
143,1,4.603278,7.3634524,6.6985283
143,2,8.726952,7.3517237,6.6985283
143,3,8.805511,7.368342,6.6985283
144,1,8.726952,7.410979,4.603278
144,2,8.805511,7.3800817,4.603278
144,3,7.341608,7.3714113,4.603278
145,1,8.805511,7.3537154,8.726952
145,2,7.341608,7.3477573,8.726952
145,3,8.753367,7.390822,8.726952
146,1,7.341608,7.3347554,8.805511
146,2,8.753367,7.3332696,8.805511
146,3,6.566896,7.380751,8.805511
147,1,8.753367,7.3490753,7.341608
147,2,6.566896,7.3386207,7.341608
147,3,10.0814705,7.3683295,7.341608
148,1,6.566896,7.3281703,8.753367
148,2,10.0814705,7.312755,8.753367
148,3,9.076409,7.362758,8.753367
149,1,10.0814705,7.348875,6.566896
149,2,9.076409,7.3251014,6.566896
149,3,8.939974,7.354137,6.566896
150,1,9.076409,7.2901855,10.0814705
150,2,8.939974,7.2741776,10.0814705
150,3,7.4016438,7.3529267,10.0814705
151,1,8.939974,7.2602477,9.076409
151,2,7.4016438,7.243249,9.076409
151,3,5.520136,7.3203354,9.076409
152,1,7.4016438,7.269163,8.939974
152,2,5.520136,7.2340407,8.939974
152,3,8.868546,7.278853,8.939974
153,1,5.520136,7.272562,7.4016438
153,2,8.868546,7.2407327,7.4016438
153,3,7.2392836,7.2200556,7.4016438
154,1,8.868546,7.2662697,5.520136
154,2,7.2392836,7.2562,5.520136
154,3,8.540664,7.2013845,5.520136
155,1,7.2392836,7.2404003,8.868546
155,2,8.540664,7.236589,8.868546
155,3,4.4268336,7.2054853,8.868546
156,1,8.540664,7.23622,7.2392836
156,2,4.4268336,7.2346373,7.2392836
156,3,8.488416,7.201409,7.2392836
157,1,4.4268336,7.234253,8.540664
