window,h,true,lstm,last_sinr
128,3,8.678409,7.255226,6.1242495
129,1,4.9867578,7.2808685,5.934799
129,2,8.678409,7.180034,5.934799
129,3,8.425645,7.227567,5.934799
130,1,8.678409,7.3145623,4.9867578
130,2,8.425645,7.173989,4.9867578
130,3,8.210738,7.249031,4.9867578
131,1,8.425645,7.200933,8.678409
131,2,8.210738,7.3263907,8.678409
131,3,6.762627,7.246927,8.678409
132,1,8.210738,7.241153,8.425645
132,2,6.762627,7.2586565,8.425645
132,3,9.145065,7.2077546,8.425645
133,1,6.762627,7.289506,8.210738
133,2,9.145065,7.239075,8.210738
133,3,5.1721325,7.237642,8.210738
134,1,9.145065,7.2896385,6.762627
134,2,5.1721325,7.199387,6.762627
134,3,6.647119,7.2191834,6.762627
135,1,5.1721325,7.256057,9.145065
135,2,6.647119,7.3382964,9.145065
135,3,8.0387,7.331042,9.145065
136,1,6.647119,7.2698607,5.1721325
136,2,8.0387,7.1299357,5.1721325
136,3,7.5790157,7.145579,5.1721325
137,1,8.0387,7.3135376,6.647119
137,2,7.5790157,7.2336264,6.647119
137,3,7.361959,7.2883024,6.647119
138,1,7.5790157,7.229897,8.0387
138,2,7.361959,7.2502685,8.0387
138,3,7.657697,7.238431,8.0387
139,1,7.361959,7.292735,7.5790157
139,2,7.657697,7.2519126,7.5790157
139,3,5.8617516,7.2650247,7.5790157
140,1,7.657697,7.2873173,7.361959
140,2,5.8617516,7.236048,7.361959
140,3,7.0707045,7.2456884,7.361959
141,1,5.8617516,7.273614,7.657697
141,2,7.0707045,7.2410293,7.657697
141,3,7.121674,7.244976,7.657697
142,1,7.0707045,7.298524,5.8617516
142,2,7.121674,7.202373,5.8617516
142,3,7.8926296,7.223728,5.8617516
143,1,7.121674,7.2785177,7.0707045
143,2,7.8926296,7.2371597,7.0707045
143,3,7.7423587,7.2679477,7.0707045
144,1,7.8926296,7.2946715,7.121674
144,2,7.7423587,7.259786,7.121674
144,3,6.95175,7.279722,7.121674
145,1,7.7423587,7.242835,7.8926296
145,2,6.95175,7.248809,7.8926296
145,3,8.36185,7.2303505,7.8926296
146,1,6.95175,7.292934,7.7423587
146,2,8.36185,7.256407,7.7423587
146,3,4.743676,7.255444,7.7423587
147,1,8.36185,7.296341,6.95175
147,2,4.743676,7.230645,6.95175
147,3,7.7873693,7.2481656,6.95175
